Merk,Soort,Percentage alcohol,Brouwerij
Lamme Goedzak,hoge gisting,7%,De Scheldebrouwerij,1995-heden
Lamoral Degmont,"hoge gisting, amberblond",8%,Brouwerij Van Den Bossche,?-?
Ledeberg Tripel,tripel,6%,Brouwerij Van Steenberghe,2003
Leeuw Pilsener,pilsener,5%,Brouwerij Haacht,?-heden
Leeuwse Witte,witbier,5%,Affligem Brouwerij,?-heden
Leffe Blond,"blond, abdijbier","6,6%",AB InBev,1976-heden
Leffe Bruin,"bruin, abdijbier","6,5%",AB InBev,1952-heden
Leffe Des Vignes,abdijbier,5%,AB InBev,2015-heden
Leffe Kerst,"kerstbier, abdijbier","6,5%",AB InBev,2008-heden
Leffe Lente,abdijbier,"6,5%",AB InBev,2011-heden
Leffe Nectar,abdijbier,"5,5%",AB InBev,2012-heden
Leffe Radieuse,abdijbier,"8,2%",AB InBev,1973-heden
Leffe Royale,"blond, abdijbier","7,5%",AB InBev,2012-2015
Leffe Royale Whitbread Golding,"blond, abdijbier","7,5%",AB InBev,2015-heden
Leffe Royale Casade IPA,IPA abdijbier,"7,5%",AB InBev,?-heden
Leffe Royale Mapuche,abdijbier,"7,5%",AB InBev,?-heden
Leffe Royale Mout Hood,abdijbier winterbier,"7,5%",AB InBev,?-heden
Leffe Royale Crystal,abdijbier zomerbier,"7,5%",AB InBev,?-heden
Leffe Ruby,"fruitbier, abdijbier","6,5%",AB InBev,2011-heden
Leffe Tripel,"tripel, abdijbier","8,4%",AB InBev,1954-heden
Leffe Vieille Cuvée,Amber,"8,2%",AB InBev,1956-heden
Leffe 9°,hoge gisting,9%,AB InBev,2015-heden
Leireken Boekweit Blond,"amber, hoge gisting, boekweit, biologisch",6%,Guldenboot nv,?-?
Leireken Boekweit Bruin,"bruin, hoge gisting, boekweit, biologisch",6%,Guldenboot nv,?-?
Leireken Lager Bio,"pils, biologisch","5,2%",Guldenboot nv,?-?
Leireken Wilde Vruchten,"fruitbier, hoge gisting, biologisch","5,2%",Guldenboot nv,?-?
Leireken Witte Spelt,"blond, hoge gisting, spelt",5%,Guldenboot nv,?-?
L'Enfant Terrible,"hoge gisting, oak aged",7%,Brouwerij De Dochter van de Korenaar,?-?
Le Pavé de l'Ours,"hoge gisting, speciale belge","7,5%",Brasserie de Silenrieux,2006-heden
Lesage Blond,"hoge gisting, tripel",7%,bierfirma Lesage,?-heden
Lesage Dubbel,hoge gisting,"7,5%",bierfirma Lesage,2011-hede
Leute Bokbier,"roodbruin, hoge gisting","7,5%",Brouwerij Van Steenberge,1927-heden
Li Berwette,"amber, hoge gisting",8%,Confrérie du Busson,2001-heden
Li Berwette di Noyè,donker kerstbier,"8,5%",Confrérie du Busson,?-heden
Li P'tite Gayoûle,saison,"5,5%",NovaBirra,?-?
Liefmans Cuvée-Brut,fruitbier,6%,Brouwerij Liefmans,?-2015
Liefmans Frambozenbier,fruitbier,"5,4%",Brouwerij Liefmans,?-?
Liefmans Fruitesse Rood,fruitbier,"4,2%",Brouwerij Liefmans,?-heden
Liefmans Goudenband,bruin,8%,Brouwerij Liefmans,1956-heden
Liefmans Ijzerenband,bruin,8%,Brouwerij Liefmans,?-1956
Liefmans Kriek,bruin,6%,Brouwerij Liefmans,?-?
Liefmans Kriek Brute,bruin,6%,Brouwerij Liefmans,2015-heden
Liefmans Oud Bruin,oud bruin,5%,Brouwerij Liefmans,?-?
Liene,"amber, tripel",7%,'t Hofbrouwerijke in opdracht van Brouwerij Het Nest,2011-heden
Liers Kerstbier,"amber, kerstbier",6%,stad Lier,2007-heden
Lily Blue,hoge gisting,"7,5%",Brasserie Sainte-Hélène,
Limburgse Witte,hoge gisting,5%,Brouwerij Sint-Jozef,?-?
Limerick,blond,8%,bierfirma Bas-bieren,2009-heden
Lindemans Apple,lambiek,"3,5%",Brouwerij Lindemans,2005-heden
Lindemans Cassis,Fruitbier,"3,5%",Brouwerij Lindemans,1986-heden
Lindemans Framboise,lambiek,"2,5%",Brouwerij Lindemans,1980-heden
Lindemans Kriek,kriek,4%,Brouwerij Lindemans,?-heden
Lindemans Pecheresse,fruitbier,"2,5%",Brouwerij Lindemans,1987-heden
Liter van Pallieter,tripel,8%,Microbrouwerij Achilles,2008-heden
Living Tripel,tripel,9%,De Proefbrouwerij,?-?
Livinus,"blond, hoge gisting",10%,Brouwerij Van den Bossche,?-?
Livinus Blonde,tripel,10%,Brouwerij Van Eecke,1964-heden
Livinus Brune,donker,9%,Brouwerij Van Eecke,?-?
Lokernaere,etiketbier,"5,5%",Brouwerij Het Sas,1989-heden
Lost in Spice,Blond,"5,2%",Brouwerij De Koninck,2017-heden
Loterbol 6°,hoge gisting,6%,Brouwerij Loterbol,1995-heden
Loterbol Blond,hoge gisting,8%,Brouwerij Loterbol,2002-heden
Loterbol Bruin,hoge gisting,8%,Brouwerij Loterbol,2002-heden
Lou Pepe,geuze,5%,Brasserie Cantillon,1998-heden
Lousberg,tripel,8%,Het Hinkelspel,?-?
Louwaege Dubbel Blond,tafelbier,"1,4%",Brouwerij Louwaege,?-?
Louwaege Faro,tafelbier,"1,4%",Brouwerij Louwaege,?-?
Louwaege's Kriek,kriek,"4,3%",Brouwerijen Alken-Maes,2002-heden
Louwaege Stout,stout,"4,8%",Brouwerij Louwaege,?-?
Lozen Boer,"hoge gisting, quadrupel",10%,de familie Neyt,?-heden
Lozen Boer Abt,"hoge gisting, quadrupel",10%,de familie Neyt,?-?
Lozen Boer Excellence,"hoge gisting, quadrupel",10%,de familie Neyt,?-heden
Lozen Boer Cuvée Juchepie,"hoge gisting, quadrupel",10%,de familie Neyt,2012-2012
Lucifer,"amber, hoge gisting","8,4%",Brouwerij Vondel,?-1957
Lucifer,"blond, hoge gisting","8,4%",Brouwerij Het Anker,'80-heden
Lupulus Blonde,hoge gisting,"8,5%",Brasserie les 3 Fourquets,2008-heden
Lupulus Brune,tripel,"8,5%",Brasserie les 3 Fourquets,2010-2010 en 2012-heden
Lupulus Hibernatus,bruin,9%,Brasserie les 3 Fourquets,?-?
Lupulus Organicus,blond bio,"8,5%",Brasserie les 3 Fourquets,?-?
Lupulus Hopera,blond,6%,Brasserie les 3 Fourquets,?-?
Lupulus Special Brew 2012,tripel,10%,Brasserie les 3 Fourquets,2012-2012
Lusja,bruin,7%,Bierfirma NoordSter,?-?
Lustem,tarwebier,7%,De Verhuisbrouwerij,2008-heden
Ma Mère Spéciale,donkerblond,6%,Brouwerij De Leite,2011-heden
Maerlant,tripel,9%,Brouwerij Van Steenberge,1957-heden
Maes,pils,"5,2%",Alken-Maes,1946-heden
Maes Nature,tafelbier,"1,5%",Alken-Maes,1999-heden
Maes Zero,alcoholvrij bier,0%,Alken-Maes,2007-heden
Maes Radler,limonadebier,2%,Alken-Maes,?-heden
Mageleno,blond,"7,5%",Huisbrouwerij Sint Canarus,
Malheur 6,goudblond,6%,Brouwerij De Landtsheer,?-heden
Malheur 8,blond,8%,Brouwerij De Landtsheer,?-heden
Malheur 10,blond,10%,Brouwerij De Landtsheer,?-heden
Malheur 12,roodbruin,12%,Brouwerij De Landtsheer,?-heden
Malheur Bière Brut,blond,11%,Brouwerij De Landtsheer,?-heden
Malheur Dark Brut,donkerbruin,12%,Brouwerij De Landtsheer,?-heden
Malheur Cuvée Royale,blond,9%,Brouwerij De Landtsheer,2005-heden
Malmedy Triple,tripel,"9,0%",Brasserie de Bellevaux,?-heden
Maltosa,"bruin, tafelbier","1,2%",Brouwerij Haacht,?-heden
Mamouche,lambiek,5%,Brouwerij Cantillon,?-heden
Maneblusser,blond,6%,Brouwerij Het Anker,2009-heden
Manneken Pils,pils,"5,2%",Brouwerij Lefebvre,2004-heden
Mano Negra,imperial stout,10%,Brouwerij Alvinne,
Manten,hoge gisting,6%,Brouwerij Gulden Spoor,2007-heden
Marckloff,hoge gisting,"6,5%",Brasserie La Ferme au Chêne,1989-heden
Maredsous blond,blond,6%,brouwerij du Faleau later door brouwerij Caulier,1949-1964
Maredsous bruin,bruin,8%,brouwerij du Faleau later door brouwerij Caulier,1949-1964
Maredsous blond,blond,6%,Brouwerij Duvel Moortgat,1964-heden
Maredsous bruin,bruin,8%,Brouwerij Duvel Moortgat,1964-heden
Maredsous tripel,tripel,10%,Brouwerij Duvel Moortgat,1972-heden
Mariënrode Double,bruin,8%,Halen Breweries,?-?
Mariënrode Quadruple,bruin,12%,Halen Breweries,?-?
Mariënrode Triple,tripel,"9,1%",Halen Breweries,?-?
Maris Otter Aperitiefbier,blond,5%,De Proefbrouwerij,2009-heden
Margriet,etiketbier,"6,5%",Brouwerij Het Anker,2005-?
Martens Pils,pils,5%,Brouwerij Martens,
Martin’s Blond,hoge gisting,6%,Group John Martin,?-?
Martin’s IPA,hoge gisting,"9,9%",Group John Martin,2012-heden
Martin’s Pale Ale,hoge gisting,"5,5%",Group John Martin,1949-heden
Martin’s Real Ale,"hoge gisting, ongefiltert","4,5%",Group John Martin,?-heden
Mater Witbier,tarwebier,5%,Brouwerij Roman,1993-heden
Mc Chouffe,donker,"8,0%",Brasserie d'Achouffe,1987-heden
Mc Thals,"blond, hoge gisting","9,5%",Brouwerij DijkWaert,2011-heden
Melchior,amber,11%,Brouwerij Alvinne,?-heden
Melchior Oak Aged,oak aged,11%,Brouwerij Alvinne,?-heden
Melse God,blond,"6,5%",Brouwerij Huyghe,?-?
Merck toch hoe sterck,gerstewijn,9%,De Scheldebrouwerij,1996-2009
Métisse Saison,saison,"5,7%",De Lion à Plume,
Meuuh!,witbier,"5,5%",Confrérie du Busson,?-heden
Mistinguett,hoge gisting,"6,5%",Brasserie Sainte-Hélène,?-?
Modeste Bruin,"bruin, biologisch","7,8%",BioFresh,?-?
Modeste Tripel,"tripel, biologisch","8,4%",BioFresh,?-?
Moeder Overste,blond,8%,Brouwerij Lefebvre,1985-heden
Moinette Blonde,blond,8%,Brasserie Dupont,1955-heden
Moinette Brune,bruin,"8,5%",Brasserie Dupont,1986-heden
Moinette Biologique,"blond, biologisch","7,5%",Brasserie Dupont,1990-heden
Mokke Blond,blond,"6,5%",Brouwerij Pirlot,
Molse Tripel,tripel,"8,3%",Scheldebrouwerij,
Mongozo Banana,fruitbier,"4,5%",Brouwerij Huyghe,2001-heden
Mongozo Coconut,fruitbier,"3,5%",Brouwerij Huyghe,2005-heden
Mongozo Mango,fruitbier,"3,6%",Brouwerij Huyghe,2008-heden
Mongozo Palmnut,fruitbier,7%,Brouwerij Huyghe,1999-heden
Mongozo Premium Pilsener,"pils, biologisch",5%,Brouwerij Huyghe,2010-heden
Mongozo Quinua,fruitbier,"5,9%",Brouwerij Huyghe,2003-heden
Monk's Stout,stout,"5,2%",Brasserie Dupont,?-? en 2010-heden
Mont-Saint-Aubert,tripel,8%,Brasserie de Brunehaut,
Montagnarde,amber,9%,Brasserie de l'Abbaye des Rocs,
Montagnarde Altitude 6,blond,6%,Brasserie de l'Abbaye des Rocs,
Morpheus Dark,hoge gisting,"10,2%",Brouwerij Alvinne,?-heden
Morpheus Extra RA,hoge gisting,"7,1%",Brouwerij Alvinne,2005-heden
Morpheus Tripel,"hoge gisting, tripel","8,7%",Brouwerij Alvinne,2004-heden
Morpheus Wild,Vlaams oud bruin,"5,9%",Brouwerij Alvinne,?-?
Mort Subite Cassis,fruitbier,"4,5%",Brouwerijen Alken-Maes,?-2005
Mort Subite Faro,faro,4%,Alken-Maes,2004-heden
Mort Subite Framboise,fruitbier,5%,Alken-Maes,?-heden
Mort Subite Gueuze,geuze,"4,5%",Alken-Maes,?-heden
Mort Subite Kriek,fruitbier,"4,5%",Alken-Maes,?-heden
Mort Subite Original Gueuze,geuze,"4,5%",Alken-Maes,?-?
Mort Subite Original Kriek,fruitbier,"4,5%",Alken-Maes,?-?
Mort Subite Oude Gueuze,oude geuze,7%,Alken-Maes,?-heden
Mort Subite Oude Kriek,oude kriek,"6,5%",Alken-Maes,?-heden
Mort Subite Pêche,fruibier,"4,5%",Alken-Maes,?-2005
Mort Subite Xtreme Framboise,fruitbier,"4,3%",Alken-Maes,2005-heden
Mort Subite Xtreme Kriek,fruitbier,"4,3%",Alken-Maes,2002-heden
Mort Subite Xtreme Manzana,fruitbier,"4,2%",Alken-Maes,?-2005
Mort Subite Witte Lambic,lambiek,5%,Alken-Maes,?-heden
Motuecha,hoge gisting,5%,De Struise Brouwers,?-?
Moulin de Hollange – Blonde d’Epeautre,"hoge gisting, speltbier",6%,Brasserie Millevertus,?-?
Mouten Kop,koperkleurig India Pale Ale,6%,De Hopjutters,2010-heden
Mug,hoge gisting,5%,De Scheldebrouwerij,1988-heden
Myn's Pils,pils,5%,Brasserie de Silly,1956-heden
Mystic Krieken,"hoge gisting, fruitbier","3,5%",Brouwerij Haacht,
Mystic Limoen,"hoge gisting, fruitbier","3,5%",Brouwerij Haacht,?-?
Mystic Perzik,"hoge gisting, fruitbier","3,7%",Brouwerij Haacht,2011-heden
Mystic Radler,"hoge gisting, fruitbier",2.5%,Brouwerij Haacht,2015-heden
'n Maurootje,donkerblond,7%,Brouwerij Alvinne,2006-heden
'n Peerdevisscher,bruin,"6,5%","Brouwerij Callewaert, nu Brouwerij Strubbe",1987-heden
'n Slypke,"roodbruin, etiketbier",6%,Brouwerij Van Eecke,1955-heden
'n Toeback,hoge gisting,"9,5%",Scheldebrouwerij,2009-heden
Naked Ladies,hoge gisting,"4,4%",Brouwerij Alvinne,
Napoleon,donker,7%,Affligem Brouwerij,?-heden
Ne Flierefluiter,tripel,"6,8%",Brouwerij De Smedt in opdracht van bierfirma Fisser,?-heden
Ne Flierefluiter,tripel,"8,5%",Brouwerij De Smedt in opdracht van bierfirma Fisser,2001-heden
Ne Janneman,"hoge gisting, blond","8,5%",Brasserie D'achouffe in opdracht van drankenservice Pelgrims,1991-?
Ne Janneman,"hoge gisting, blond",8 %,Brasserie La Rochefortoise in opdracht van drankenservice Pelgrims,?-2002
Ne Janneman,"hoge gisting, blond","8,5%",brouwerij Dupont in opdracht van drankenservice Pelgrims,1955-heden
Ne Janneman,"hoge gisting, blond",7%,Brouwerij Kerkom in opdracht van drankenservice Pelgrims,?-heden
Ne Kopstoot,"hoge gisting, goudkleur",7%,Brasserie de Brunehaut,?-heden
Ne Snoeper,tripel,10%,'t Hofbrouwerijke,?-heden
Nelle van Cruysem,"hoge gisting, amber",6%,Huisbrouwerij Sint Canarus,2013-heden
Nello's Blond,blond,7%,Brouwerij De Arend,2003-heden
Nello's Tripel,tripel,,Brouwerij De Arend,?-heden
Nen Bangelijke,sterk blond,8%,Brouwerij 't Pakhuis,?-heden
Nen Biskop,blond,"6,4%",Stichting Marcel De Bisschop,2008-heden
Nen Kerstbal,kerstbier,8%,voor bierfirma Vacas,?-heden
Nen Uts,speciale belge,7%,De Hoevebrouwers,?-heden
Netebuk,sterk blond,"6,5%",Brouwerij Gulden Spoor,?-heden
Neuzebier Tripel,blonde tripel,"6,9%",brouwerij De Neus,1984-heden
Neuzebier Tripel Bruin,donkere tripel,8%,brouwerij De Neus,2014-heden
Newton,fruitbier,"3,5%",Brouwerij Lefebvre,1998-heden
N'Ice Chouffe,donker seizoensbier,10%,Brasserie d'Achouffe,1993-heden
Nivoo Bruin,hoge gisting,8%,GIBRIT,
Nivoo Tripel,tripel,7%,GIBRIT,
Noblesse,"hoge gisting, blond","5,5%",Brouwerij De Dochter van de Korenaar,2007-heden
Noblesse Extra,"hoge gisting, IPA",7%,Brouwerij De Dochter van de Korenaar,?-heden
Noël de Silenrieux,"tripel, kerstbier",9%,Brasserie de Silenrieux,1996-heden
Noir de Dottignies,hoge gisting,9%,Brouwerij De Ranke,?-heden
Nondedju,tripel,"10,7%",Montaigu,
Nonneke,donker,8%,Nonneke,
NOORderbierke,"hoge gisting, amberblond","8,1%",Brouwerij Donum Ignis,?-heden
Norman,blond,7%,Bierfirma NoordSter,
Nostradamus,"hoge gisting, bruin",9%,Brasserie Caracole,2000-heden
Notre Passion,porter,8%,Montaigu,?-heden
Nounnette,blond,"7,5%",Brasserie de l'Abbaye des Rocs,?-heden
Novice Blue,goudblond,"8,5%",Brouwerij De Landtsheer,?-heden
Novice Tripel Black,"bruin, tripel","8,5%",Brouwerij De Landtsheer,?-heden
Nuits Blanches,,"7,5%",Brasserie de l'Abbaye des Rocs,?-heden
Odlo Blond,hoge gisting,"6,7%",Huisbrouwerij Odlo,2011-heden
Odlo Hivernum,"winterbier, Belgian Imperial Stout","8,7%",Huisbrouwerij Odlo,2011-heden
Odlo Triviaal,tripel,"8,2%",Huisbrouwerij Odlo,?-heden
Oeral,India Pale Ale,6%,De Dolle Brouwers,1986-?
Oerbier,hoge gisting,"7,5%",De Dolle Brouwers,1980-heden
Oerbier special Reserva,hoge gisting,"13,0%",De Dolle Brouwers,?-?
Oesterstout,stout,"8,5%",De Scheldebrouwerij,1999-heden
Omer.,"hoge gisting, blond",8%,Brouwerij Bockor,2008-heden
Ommegang,"strogeel, hoge gisting",8%,Brouwerij Haacht,2011-heden
Ondineke,tripel,"8,5%",Brouwerij De Glazen Toren,
Op-Ale,ale,5%,Affligem Brouwerij,
Opitter,export,,Brouwerij Sint-Jozef,
Ops-Ale,blond,"5,5%",Brouwerij Sint-Jozef,?-?
Orval,trappist,"6,2%",Abdij Notre-Dame d'Orval,?-heden
Orvélo,tripel,"7,5%",bierfirma Half Zeven,
Oudbeitje,aardbeienlambiek,6%,Hanssens Artisanaal,
Oud Bier,tafelbier,"2,1%",Brouwerij Strubbe,
Oud Tassels,tripel,"8,5%",Bier- en Wijnhandel De Neys-Asselman,2009-heden
Oud Kriekenbier,fruitbier,6%,Brouwerij Strubbe,
Oud Zottegems Bier,hoge gisting,"6,5%",Brouwerij Strubbe,
Oude Geuze 3 Fonteinen,geuze,7%,Geuzestekerij 3 Fonteinen,
Oude Geuze Vintage 3 Fonteinen,geuze,6%,Geuzestekerij 3 Fonteinen,
Oudenaards,Hoge gisting,5%,Brouwerij Roman,
Oudstrijder Blond,"blond, hoge gisting, biologisch","7,2%",Brouwerij Strubbe,2014-heden
Oudstrijder Dobbel-Tripel,"robijnrood, hoge gisting, biologisch","7,8%",Brouwerij Strubbe,2014-heden
Oude Geuze Boon,geuze,"6,5%",Brouwerij Boon,?-heden
Oude Geuze De Cam,geuze,6%,Geuzestekerij De Cam,
Oude Geuze Oud Beersel,geuze,6%,Brouwerij Oud Beersel,?-heden
Oude Gueuze Hanssens,geuze,6%,Hanssens Artisanaal,
Oude Gueuze Tilquin à l'ancienne,geuze,"6,0%",Gueuzerie Tilquin,
Oude Kriek 3 Fonteinen,lambiek/kriek,6%,Geuzestekerij 3 Fonteinen,
Oude Kriek Boon,lambiek,"6,5%",Brouwerij Boon,
Oude Kriek De Cam,lambiek/kriek,"6,5%",Geuzestekerij De Cam,
Oude Kriek Hanssens,lambiek/kriek,6%,Hanssens Artisanaal,
Oude Kriek Oud Beersel,lambiek,"6,5%",Brouwerij Oud Beersel,
Oude Lambiek De Cam,lambiek,5%,Geuzestekerij De Cam,
Oude Quetsche Tilquin à l'ancienne,lambiek,"6,4%",Gueuzerie Tilquin,
Outblack,Belgian Strong Ale,10%,De Struise Brouwers,?-?
Oxymore,"amber, hoge gisting",5%,Brasserie Oxymore,?-?
Paasei,bruin,"7,8%",voor bierfirma Vacas
Pa-Gijs,bruin,"8,5%",Brouwerij Boelens,1995-heden
Paix-Dieu,abdijbier,10%,Brasserie Caulier,?-?
Paljas Blond,blond,6%,Brouwerij Henricus,?-?
Paljas Bruin,bruin,6%,Brouwerij Henricus,?-?
Paljas IPA,"amber, IPA",6%,Brouwerij Henricus,?-?
Palm,spéciale belge,"5,4%",Brouwerij Palm,1929?-heden
Palm Dobbel,kerstbier,6%,Brouwerij Palm,1947-heden
Palm Green,alcoholarm,"0,25%",Brouwerij Palm,?-2012
Palm Hopper,hoge gisting,6%,Brouwerij Palm,?-?
Palm Hop Select,hoge gisting,6%,Brouwerij Palm,2011-heden
Palm N.A,alcoholarm,"0,25%",Brouwerij Palm,2012-heden
Palm Royale,hoge gisting,"7,5%",Brouwerij Palm,2003-heden
Palm Sauvin,hoge gisting,"4,9%",Brouwerij Palm,2011-heden
Palm Speciale,spéciale belge,"5,2%",Brouwerij Palm,?-?
Pandreitje,donkerblond,7%,Brouwerij De Regenboog,
Pannepot,hoge gisting,10%,De Struise Brouwers,2005-?
Pannepot Reserva,"hoge gisting, bruin",10%,De Struise Brouwers,?-heden
Pannepot Grand Reserva Vintage,"hoge gisting, bruin",10%,De Struise Brouwers,2007-2007
Pannepot Special Reserva,"hoge gisting, bruin",10%,De Struise Brouwers,2007-2007
Pannepot Wild,"hoge gisting, bruin",10%,De Struise Brouwers,?-?
Pannepeut,hoge gisting,10%,De Struise Brouwers,?-?
Papegaei,hoge gisting,8%,Brouwerij Verstraete,2009-heden
Passchendaele,hoge gisting,"5,2%",Brouwerij Van Honsebrouck,2016-heden
Passendale,amber,6%,Brouwerij Duvel Moortgat,2000-2005
Pater,streekbier,6%,Brouwerij Anders! in opdracht van vzw Brouwerij De Lelie,2009-heden
Pater,streekbier,6%,Brouwerij De Lelie,?-1952
Pater Lieven,abdijbier amber,"5,7%",Brouwerij Van Den Bossche,1957-1997
Pater Lieven Blond,abdijbier,"6,5%",Brouwerij Van Den Bossche,?-?
Pater Lieven Bruin,abdijbier,"6,5%",Brouwerij Van Den Bossche,?-?
Pater Lieven Tripel,abdijbier,8%,Brouwerij Van Den Bossche,?-?
Pater Lieven Wit,abdijbier,8%,Brouwerij Van Den Bossche,?-?
Pater Verbiest Blond,"biologisch, blond","6,5%",De Proefbrouwerij,2001-heden
Pater Verbiest Donker,"biologisch, donker",9%,De Proefbrouwerij,2001-heden
Paternoster Dubbel,bruin dubbel,8%,Microbrouwerij Achilles in De Proefbrouwerij in opdracht van Paters en Prinsen,2009-heden
Paternoster Tripel,tripel,8%,Brouwerij Anders! in opdracht van Paters en Prinsen,2011-heden
Patrasche dubbel,donkerbruin,8%,Brouwerij De Arend,?-?
Paulus,oud bruin,6%,Brouwerij Het Sas,?-?
Paus,streekbier,?%,Brouwerij Anders! in opdracht van Brouwerij De Lelie,?-1952
Paus,streekbier,"8,5%",Brouwerij Anders! in opdracht van Brouwerij De Lelie,2008-heden
Pauwel Kwak,speciaalbier,"8,4%",Brouwerij Bosteels,1980-heden
Pax Pils,pils,"4,6%",Brouwerij Sint-Jozef,1937-heden
Pêche Mel Bush,fruitbier,"8,5%",Brouwerij Dubuisson,2009-heden
Pee Klak Grand Cru,etiketbier,"8,4%",Brouwerij Crombé,?-?
Père Abbé,tripel,"7,3%",Brasserie Du Bocq,?-?
Père Noël,kerstbier,7%,Brouwerij De Ranke,1997-heden
Peter Benoit,etiketbier,5%,Brouwerij Het Sas,1955-heden
Petrus Aged Pale,aged pale,"7,3%",Brouwerij Bavik,2001-heden
Petrus Aged Red,roodbruin,"8,5%",Brouwerij Bavik,2013-heden
Petrus Blond,"hoge gisting, blond","6,6%",Brouwerij Bavik,2006-heden
Petrus Dubbel Bruin,bruin,"6,5%",Brouwerij Bavik,2006-heden
Petrus Gouden Tripel,tripel,"7,5%",Brouwerij Bavik,2006-heden
Petrus Oud Bruin,oud bruin,"5,5%",Brouwerij Bavik,?-heden
Petrus Speciale,speciaalbier,"5,5%",Brouwerij Bavik,2006-heden
Petrus Winterbier,winterbier,"6,5%",Brouwerij Bavik,2006-heden
Phaedra,amber,6%,Brouwerij Het Alternatief,2013
Pick-Up,pils,5%,Brouwerij Walrave,
Piedbœuf Blonde,tafelbier,"1,5%",Brouwerij Piedbœuf,?-heden
Piedbœuf Brune,tafelbier,"1,5%",Brouwerij Piedbœuf,?-heden
Piedbœuf Excellence,tafelbier,2%,Brouwerij Piedbœuf,?-?
Piedbœuf Foncée,tafelbier,"1,5%",Brouwerij Piedbœuf,?-?
Piedbœuf Triple,tafelbier,"3,8%",Brouwerij Piedbœuf,?-heden
Pierewietje,,6%,Brouwerij De Regenboog,?-?
Piet-Agoras,hoge gisting,9%,Brouwerij Het Alternatief,?-?
Pikkeling,blond,"6,2%",Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek,2011-heden
Pikkeling,"amber, hoge gisting","5,5%",Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek,2009-2011
Pikkeling Tripel,tripel,8%,Brouwerij Boelens in opdracht van VVV De Faluintjesstreek,?-2008
Pilaarbijter Blond,hoge gisting,"7,2%",Brouwerij Bavik,2002-heden
Pilaarbijter Bruin,hoge gisting,"6,5%",Brouwerij Bavik,2003-heden
Pils de Brabant,pils,"4,9%",Groep John Martin,?-?
Pimpernelle,"tripel, biologisch",8%,Brouwerij Jessenhofke,2010-heden
Pink Killer,"hoge gisting, fruitig witbier",5%,Brasserie de Silly,?-?
Pipedream,IPA,"7,8%",Brouwerij Alvinne,?-?
Piraat,hoge gisting,"10,5%",Brouwerij Van Steenberge,?-heden
Pissenlit,saison,8%,Brasserie Fantôme,?-?
Platteau,blond,"4,5%",Brouwerij Het Alternatief,2014-?
Plezir Blond,pils,"5,5%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir Brown,hoge gisting,"7,1%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir D Lux Blond,blond aperitiefbier,"6,7%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Plezir D Lux Rosé,rosébier,"5,2%",Brouwerij Sint-Jozef in opdracht van Zirvest Cvba,2011-2014
Ploegsteert,,"5,4%",Brouwerij Verhaeghe Vichte,?-?
Plokkersbier,amber,7%,Brouwerij De Bie,?-?
PMPRNL,"tripel, biologisch",8%,Brouwerij Jessenhofke,2010-heden
Podge Belgian Imperial Stout,stout,"10,5%",Brouwerij Alvinne,?-?
Podge Oak Aged Stout,stout,11%,Brouwerij Alvinne,?-?
Polygonneke,"roodbruin, etiketbier",6%,Brouwerij Van Eecke,1955-heden
Postel Blond,"blond, abdijbier",7%,Affligem Brouwerij,1953?-heden
Postel Christmas,roodbruin abdijbier,9%,Affligem Brouwerij,?-heden
Postel Dubbel,"bruin, abdijbier",7%,Affligem Brouwerij,?-heden
Postel Tripel,"blonde tripel, abdijbier","8,5%",Affligem Brouwerij,?-heden
Potteloereke,bruin,8%,Huisbrouwerij Sint-Canarus,2007-heden
Poorter,abdijbier,"6,5%",Brouwerij Sterkens,
Poperings Hommelbier,hoge gisting,"7,5%",Brouwerij Van Eecke,1981-heden
Poperings Nunnebier,hoge gisting,"7,2%",Brouwerij Verhaeghe,2007-heden
Préaris Blond,hoge gisting,6%,Vliegende Paard Brouwers,2012-heden
Préaris Quadrupel,Belgian Strong Ale,10%,Vliegende Paard Brouwers,?-heden
Préaris IPA,IPA,"6,7%",Vliegende Paard Brouwers,?-?
Prima Leroy,tafelbier,"3,25%",Brouwerij Het Sas,?-?
Primus,pils,"5,2%",Brouwerij Haacht,1975-heden
Prins van Horne,amber,"7,9%",Vryheytscamme,?-?
Prinsesken,"lichtrood, fruitbier","6,5%",Brouwerij Boelens,?-heden
Puitenkop,IPA,"5,6%",Brouwerij 't Paenhuys,?-?
Qantelaar,quadrupel,8%,bierfirma Proefbrouwerij d'oude maalderij,2013-heden
Quadrigenti,blond,"5,6%",bierfirma Montaignu,
Quest,blond,9%,Brouwerij De Graal,2009-heden
Queueu de Charrue Ambrée,amber,"5,6%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,1998-heden
Queueu de Charrue Blonde,"blond, hoge gisting","6,6%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,2009-heden
Queueu de Charrue Brune,oud bruin,"5,4%",Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem,1986-heden
